хна fit	[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND')]
five	[(0, 4, 'B-BRAND')]
faive	[(0, 5, 'B-BRAND')]
сок сады придонья абрикос	[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 17, 'I-BRAND'), (18, 25, 'B-TYPE')]
хот дог	[(0, 3, 'B-TYPE'), (4, 7, 'I-TYPE')]
приправа прованские травы	[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE'), (20, 25, 'I-TYPE')]
молоко счастливое детство	[(0, 6, 'B-TYPE'), (7, 17, 'B-BRAND'), (18, 25, 'I-BRAND')]
молоко счастдивое летство	[(0, 6, 'B-TYPE'), (7, 17, 'B-BRAND'), (18, 25, 'I-BRAND')]
кроха панам	[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
кроха носки	[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
напиток чайный вкус	[(0, 7, 'B-TYPE'), (8, 14, 'O'), (15, 19, 'O')]
напиток чайный вку	[(0, 7, 'B-TYPE'), (8, 14, 'O'), (15, 18, 'O')]
чай черный листовой	[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE'), (11, 19, 'I-TYPE')]
sneg положи	[(0, 4, 'B-BRAND'), (5, 11, 'O')]
коньяк остро	[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
фрути	[(0, 5, 'B-BRAND')]
коровка из кореновк	[(0, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 19, 'I-BRAND')]
коровка из коренов	[(0, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 18, 'I-BRAND')]
коровка из корено	[(0, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 17, 'I-BRAND')]
злеб белый	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
боржом в стекле	[(0, 6, 'B-BRAND'), (7, 8, 'O'), (9, 15, 'O')]
югурт	[(0, 5, 'B-TYPE')]
кроха	[(0, 5, 'B-BRAND')]
милкт	[(0, 5, 'B-TYPE')]
evo	[(0, 3, 'B-BRAND')]
мацарелл	[(0, 8, 'B-BRAND')]
булки дом выпечки	[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
булки дм выпечки	[(0, 5, 'B-TYPE'), (6, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
булки дом ввпечки	[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
слада ири	[(0, 5, 'B-BRAND'), (6, 9, 'O')]
фрута	[(0, 5, 'B-BRAND')]
булки дом выпечки	[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
чиабата тобус	[(0, 7, 'B-TYPE'), (8, 13, 'O')]
suar&pi	[(0, 7, 'B-BRAND')]
коемол электричские	[(0, 6, 'B-TYPE'), (7, 19, 'O')]
коемол электрич	[(0, 6, 'B-TYPE'), (7, 15, 'O')]
птица див	[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
балзам	[(0, 6, 'B-TYPE')]
пингвин скумбр	[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
север экле	[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
яблоки global village	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND'), (14, 21, 'I-BRAND')]
ром экстр	[(0, 3, 'B-TYPE'), (4, 9, 'B-BRAND')]
кофе молотый монарх	[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 19, 'I-BRAND')]
терка доя посуды	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
хлеб селяночка белый	[(0, 4, 'B-TYPE'), (5, 14, 'B-BRAND'), (15, 20, 'I-TYPE')]
хлебницы брабант	[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND')]
корм кош сухой	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'I-TYPE')]
корм кш сухой	[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'I-TYPE')]
зна fit	[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND')]
зна fit	[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND')]
сок красни. цена	[(0, 3, 'B-TYPE'), (4, 11, 'B-BRAND'), (12, 16, 'I-BRAND')]
сок карсни. цена	[(0, 3, 'B-TYPE'), (4, 11, 'B-BRAND'), (12, 16, 'I-BRAND')]
полукопченое колба	[(0, 12, 'B-TYPE'), (13, 18, 'I-TYPE')]
агроэко	[(0, 7, 'B-TYPE')]
подогревающая техни	[(0, 13, 'B-TYPE'), (14, 19, 'I-TYPE')]
маги для борща	[(0, 4, 'B-BRAND'), (5, 8, 'O'), (9, 14, 'O')]
вода лимон лайм	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 15, 'I-TYPE')]
моо	[(0, 3, 'B-TYPE')]
моо	[(0, 3, 'B-TYPE')]
fr	[(0, 2, 'O')]
эго	[(0, 3, 'O')]
сыорк	[(0, 5, 'B-TYPE')]
сырок	[(0, 5, 'B-TYPE')]
сырко	[(0, 5, 'B-TYPE')]
срыок	[(0, 5, 'B-TYPE')]
котекс	[(0, 6, 'B-BRAND')]
чоко	[(0, 4, 'B-BRAND')]
чокко	[(0, 5, 'B-BRAND')]
ернчай	[(0, 6, 'O')]
кефир био	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
кефир биои	[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
pia	[(0, 3, 'B-BRAND')]
лклэнд	[(0, 6, 'O')]
hein	[(0, 4, 'B-BRAND')]
heinz	[(0, 5, 'B-BRAND')]
einz	[(0, 4, 'B-BRAND')]
elit	[(0, 4, 'B-BRAND')]
энергит	[(0, 7, 'B-TYPE')]
экомил	[(0, 6, 'B-BRAND')]
экомл	[(0, 5, 'B-BRAND')]
экгмил	[(0, 6, 'B-BRAND')]
сахзам	[(0, 6, 'B-TYPE')]
свхзам	[(0, 6, 'B-TYPE')]
без пельмени	[(0, 3, 'O'), (4, 12, 'B-TYPE')]
без пельсени	[(0, 3, 'O'), (4, 12, 'B-TYPE')]
без педьмени	[(0, 3, 'O'), (4, 12, 'B-TYPE')]
melon	[(0, 5, 'B-TYPE')]
haas	[(0, 4, 'B-BRAND')]
милоко	[(0, 6, 'B-TYPE')]
mms	[(0, 3, 'B-BRAND')]
приправыч желат	[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')]
праправыч желатин	[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE')]
припоавыч жулати	[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]
прмправыч желат	[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')]
идель	[(0, 5, 'B-BRAND')]
сок 2 литра яблочный	[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 11, 'I-VOLUME'), (12, 20, 'O')]
сок 3 литра яблочный	[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 11, 'I-VOLUME'), (12, 20, 'O')]
дроджди	[(0, 7, 'B-TYPE')]
энергить	[(0, 8, 'B-TYPE')]
miv	[(0, 3, 'B-BRAND')]
mivi	[(0, 4, 'B-BRAND')]
сгущенный молочн	[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]
сгущеный молочн	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
сгкщеный молочн	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
бумажнве платочки дл носа	[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 20, 'O'), (21, 25, 'O')]
бумвжнве платочки дл носа	[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 20, 'O'), (21, 25, 'O')]
чупа чупс	[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
чкпа чкпс	[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
гу	[(0, 2, 'O')]
зйнки	[(0, 5, 'O')]
фол	[(0, 3, 'O')]
raf	[(0, 3, 'B-BRAND')]
rafg	[(0, 4, 'B-BRAND')]
для котлет	[(0, 3, 'O'), (4, 10, 'B-TYPE')]
nemoloco	[(0, 8, 'B-BRAND')]
nmoloco	[(0, 7, 'B-BRAND')]
nemoloko	[(0, 8, 'B-BRAND')]
nemploko	[(0, 8, 'B-BRAND')]
шерба	[(0, 5, 'B-TYPE')]
buren club	[(0, 5, 'O'), (6, 10, 'O')]
рулет мясная ф	[(0, 5, 'B-TYPE'), (6, 12, 'O'), (13, 14, 'O')]
женски нбо	[(0, 6, 'O'), (7, 10, 'O')]
bgr	[(0, 3, 'O')]
сыекла	[(0, 6, 'B-TYPE')]
сыеула	[(0, 6, 'B-TYPE')]
сыекда	[(0, 6, 'B-TYPE')]
свекда	[(0, 6, 'B-TYPE')]
свекл	[(0, 5, 'B-TYPE')]
сыинина	[(0, 7, 'B-TYPE')]
сыигина	[(0, 7, 'B-TYPE')]
саинина	[(0, 7, 'B-TYPE')]
свр плав	[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE')]
свр плавл	[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE')]
свр плавле	[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE')]
coisine	[(0, 7, 'B-BRAND')]
coidine	[(0, 7, 'B-BRAND')]
coiaine	[(0, 7, 'B-BRAND')]
тыооожный	[(0, 9, 'B-TYPE')]
тыооожный	[(0, 9, 'B-TYPE')]
твородный	[(0, 9, 'B-TYPE')]
cmo	[(0, 3, 'O')]
ba houe	[(0, 2, 'O'), (3, 7, 'O')]
варенье малина	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
варенье клубника	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
вренье малина	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
ваоенье малина	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
производство ды	[(0, 12, 'B-BRAND'), (13, 15, 'B-TYPE')]
производство	[(0, 12, 'B-BRAND')]
пооизводство	[(0, 12, 'B-BRAND')]
произыодство	[(0, 12, 'B-BRAND')]
производсво	[(0, 11, 'B-BRAND')]
масло ра	[(0, 5, 'B-TYPE'), (6, 8, 'O')]
sok	[(0, 3, 'B-TYPE')]
доьрый кола без сахара	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE'), (12, 15, 'O'), (16, 22, 'O')]
дорый кола	[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
добрый кла	[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
малтна	[(0, 6, 'B-TYPE')]
малина	[(0, 6, 'B-TYPE')]
молина	[(0, 6, 'B-TYPE')]
иасло сли	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
мистер пропер для полов	[(0, 6, 'B-BRAND'), (7, 13, 'I-BRAND'), (14, 17, 'O'), (18, 23, 'O')]
мистер прпер	[(0, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
мимтер пропер	[(0, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
мистер пррпер	[(0, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
сыр бе	[(0, 3, 'B-TYPE'), (4, 6, 'B-BRAND')]
сыр бел	[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND')]
сыр беле	[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')]
сыр белеб	[(0, 3, 'B-TYPE'), (4, 9, 'B-BRAND')]
тверд мы	[(0, 5, 'B-TYPE'), (6, 8, 'I-TYPE')]
мыло жидкое	[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
лапша доширак	[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
доширвк бульон	[(0, 7, 'B-BRAND'), (7, 13, 'B-TYPE')]
доширвк соевый соус	[(0, 7, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 18, 'I-TYPE')]
пингвин сельд	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
пингвин селедка	[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
сады придонбя	[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND')]
сок сады придонья	[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
ситно макароны	[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE')]
вкус 	[(0, 4, 'O')]
сахар песок 	[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]
мусорные мешки	[(0, 8, 'O'), (9, 14, 'B-TYPE')]
порошок тайд	[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
тайд пятновыводитель	[(0, 4, 'B-BRAND'), (5, 20, 'B-TYPE')]
центрум витамины	[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]
центрум облодка	[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
сок спиды придонья	[(0, 3, 'B-TYPE'), (4, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
больша вода	[(0, 6, 'B-VOLUME'), (7, 11, 'B-TYPE')]
double 	[(0, 6, 'B-TYPE')]
doublee	[(0, 7, 'B-TYPE')]
филе грудка	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
кура грудь	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
бедро филк	[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
ср пармезан	[(0, 2, 'B-TYPE'), (3, 11, 'I-TYPE')]
пармезан тертый	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
тесто	[(0, 5, 'B-TYPE')]
дрожжевое тесто	[(0, 9, 'O'), (10, 15, 'B-TYPE')]
слоеное тесто	[(0, 7, 'O'), (8, 13, 'B-TYPE')]
delicat	[(0, 7, 'B-BRAND')]
чмк сосиськи	[(0, 3, 'B-BRAND'), (4, 12, 'B-TYPE')]
чмк вырезка	[(0, 3, 'B-BRAND'), (4, 11, 'B-TYPE')]
пюрешки кашка 	[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
кашка для сна	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 3, 'O')]
сыр cсыробогатов	[(0, 3, 'B-TYPE'), (4, 16, 'B-BRAND')]
косичка сыробогатов	[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND')]
ирит точтер	[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE')]
ирит фен щетка	[(0, 4, 'B-BRAND'), (5, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
тхк лепешка	[(0, 3, 'B-BRAND'), (4, 11, 'B-TYPE')]
тхк хлеб	[(0, 3, 'B-BRAND'), (4, 8, 'B-TYPE')]
тхк лаваш	[(0, 3, 'B-BRAND'), (4, 9, 'B-TYPE')]
omsa	[(0, 4, 'B-BRAND')]
omsaa	[(0, 5, 'B-BRAND')]
omsa колготеи	[(0, 4, 'B-BRAND'), (5, 13, 'B-TYPE')]
кофе 3 в р	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 8, 'O'), (9, 10, 'O')]
кофе 3 в 1	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 8, 'O'), (9, 10, 'O')]
кофе 3в1	[(0, 4, 'B-TYPE'), (5, 8, 'O')]
fi краска	[(0, 2, 'B-BRAND'), (3, 9, 'B-TYPE')]
fi черная	[(0, 2, 'B-BRAND'), (3, 9, 'O')]
leb	[(0, 3, 'B-TYPE')]
то матная паста	[(0, 2, 'B-TYPE'), (3, 9, 'I-TYPE'), (10, 15, 'I-TYPE')]
сок сады вишня	[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
джениус подскажи	[(0, 7, 'B-BRAND'), (8, 16, 'O')]
fit kit	[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
с корицей	[(0, 1, 'O'), (2, 9, 'O')]
селяно	[(0, 6, 'B-BRAND')]
хмели сун	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
вода минер	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
стекломой комфо	[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')]
капуста свежий урожай	[(0, 7, 'B-TYPE'), (8, 14, 'O'), (15, 21, 'O')]
в томатном соусе рыьа	[(0, 1, 'O'), (2, 10, 'O'), (11, 16, 'O'), (17, 21, 'B-TYPE')]
магур	[(0, 5, 'B-TYPE')]
угле поле	[(0, 4, 'O'), (5, 9, 'O')]
коые в зернах	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')]
хоеб тостовый	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
сахаор	[(0, 6, 'B-TYPE')]
кукцрузнве палочк э	[(0, 10, 'B-TYPE'), (11, 17, 'I-TYPE'), (18, 19, 'O')]
близна	[(0, 6, 'B-TYPE')]
ne moloko	[(0, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
поостоквашино	[(0, 13, 'B-BRAND')]
нектар спды придонья	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 20, 'I-BRAND')]
lpton	[(0, 5, 'B-BRAND')]
малиныч	[(0, 7, 'B-BRAND')]
сахйар	[(0, 6, 'B-TYPE')]
бондюэль	[(0, 8, 'B-BRAND')]
забава	[(0, 6, 'B-BRAND')]
тимыян	[(0, 6, 'B-TYPE')]
пармалат	[(0, 8, 'B-BRAND')]
вастэко завтр	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
вода красная ц	[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 14, 'I-BRAND')]
если стельки	[(0, 4, 'O'), (5, 12, 'B-TYPE')]
мороженое чистая лин	[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND'), (17, 20, 'I-BRAND')]
кол	[(0, 3, 'B-TYPE')]
чпй в пакетиках	[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 15, 'O')]
нигири	[(0, 6, 'B-TYPE')]
нжо	[(0, 3, 'B-TYPE')]
neomoloko	[(0, 9, 'B-BRAND')]
вода большой обьем	[(0, 4, 'B-TYPE'), (5, 12, 'B-VOLUME'), (13, 18, 'I-VOLUME')]
astor	[(0, 5, 'B-BRAND')]
пат срная	[(0, 3, 'O'), (4, 9, 'O')]
липецкая вода гизированная	[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 26, 'I-TYPE')]
тертый пармезан	[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
орбит	[(0, 5, 'B-BRAND')]
бажная салфека	[(0, 6, 'O'), (7, 14, 'O')]
сок сад виноград	[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND'), (8, 16, 'O')]
сады срк яблоко	[(0, 4, 'B-BRAND'), (5, 8, 'B-TYPE'), (9, 15, 'O')]
сды срк яблоко	[(0, 3, 'B-BRAND'), (4, 7, 'B-TYPE'), (8, 14, 'O')]
спды придонья сок	[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'B-TYPE')]
сады предонья мультифрутк	[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 25, 'O')]
вишня сады придонь 	[(0, 5, 'O'), (6, 10, 'B-BRAND'), (11, 18, 'I-BRAND')]
джениус	[(0, 7, 'B-BRAND')]
fit kit	[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
с клубникой	[(0, 1, 'O'), (2, 11, 'O')]
с малиной	[(0, 1, 'O'), (2, 9, 'O')]
с маком	[(0, 1, 'O'), (2, 7, 'O')]
хмели сун	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
вода минер	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
вода минера	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
магур	[(0, 5, 'B-TYPE')]
магу курины	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
мпгур куриный	[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
в собственном соку томаты	[(0, 1, 'O'), (2, 13, 'O'), (14, 18, 'O'), (19, 25, 'B-TYPE')]
Филе тунца Том Ям полосатого в соусе с	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 14, 'O'), (15, 17, 'O'), (18, 28, 'O'), (29, 30, 'O'), (31, 36, 'O'), (37, 38, 'O')]
nemaloko	[(0, 8, 'B-BRAND')]
nmoloko	[(0, 7, 'B-BRAND')]
nemo loko	[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
немолоко	[(0, 8, 'B-BRAND')]
не молоко	[(0, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
Печенюш Малиныч	[(0, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Печеню Малинычч	[(0, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
orbit	[(0, 5, 'B-BRAND')]
orbi	[(0, 4, 'B-BRAND')]
орбитт	[(0, 6, 'B-BRAND')]
орбии	[(0, 5, 'B-BRAND')]
сахарр	[(0, 6, 'B-TYPE')]
сахор	[(0, 5, 'B-TYPE')]
сахвр	[(0, 5, 'B-TYPE')]
сазар	[(0, 5, 'B-TYPE')]
сахао	[(0, 5, 'B-TYPE')]
простоквашино	[(0, 13, 'B-BRAND')]
простроквашино	[(0, 14, 'B-BRAND')]
простквшино	[(0, 11, 'B-BRAND')]
простоквашшно	[(0, 13, 'B-BRAND')]
бондюэль	[(0, 8, 'B-BRAND')]
забава	[(0, 6, 'B-BRAND')]
мороженое чистая лин	[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND'), (17, 20, 'I-BRAND')]
мородееное линия	[(0, 10, 'B-TYPE'), (11, 16, 'B-BRAND')]
мороженка числая линия	[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND'), (17, 22, 'I-BRAND')]
тимьян	[(0, 6, 'B-TYPE')]
тимъян	[(0, 6, 'B-TYPE')]
тимбян	[(0, 6, 'B-TYPE')]
тимьчн	[(0, 6, 'B-TYPE')]
липтон	[(0, 6, 'B-BRAND')]
лптно	[(0, 5, 'B-BRAND')]
чай lpton	[(0, 3, 'B-TYPE'), (4, 9, 'B-BRAND')]
онигири	[(0, 7, 'B-TYPE')]
онигир	[(0, 6, 'B-TYPE')]
вастеко завтраки	[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]
вастэко	[(0, 7, 'B-BRAND')]
vasteco	[(0, 7, 'B-BRAND')]
wasteco	[(0, 7, 'B-BRAND')]
почему карандаши	[(0, 6, 'O'), (7, 16, 'B-TYPE')]
хелб ржаной	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
с маком рулет	[(0, 1, 'O'), (2, 7, 'O'), (8, 13, 'B-TYPE')]
белизна	[(0, 7, 'B-TYPE')]
беизна	[(0, 6, 'B-TYPE')]
белзна	[(0, 6, 'B-TYPE')]
белина	[(0, 6, 'B-TYPE')]
мешки для муслра	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
сыроббгатов	[(0, 11, 'B-BRAND')]
мешки для мусора	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
akba	[(0, 4, 'B-BRAND')]
delicat	[(0, 7, 'B-BRAND')]
de1licat	[(0, 8, 'B-BRAND')]
deqlicat	[(0, 8, 'B-BRAND')]
сок 2 литра вишневый	[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 11, 'I-VOLUME'), (12, 20, 'O')]
сок 2 литра клубничный	[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 11, 'I-VOLUME'), (12, 22, 'O')]
сок 2 литра апельсиновый	[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 11, 'I-VOLUME'), (12, 24, 'O')]
сок 2 литра виноград	[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 11, 'I-VOLUME'), (12, 20, 'O')]
вода большой обьем	[(0, 4, 'B-TYPE'), (5, 12, 'B-VOLUME'), (13, 18, 'I-VOLUME')]
вода большой обьём	[(0, 4, 'B-TYPE'), (5, 12, 'B-VOLUME'), (13, 18, 'I-VOLUME')]
вода большой объём	[(0, 4, 'B-TYPE'), (5, 12, 'B-VOLUME'), (13, 18, 'I-VOLUME')]
вода бльшой объём	[(0, 4, 'B-TYPE'), (5, 11, 'B-VOLUME'), (12, 17, 'I-VOLUME')]
желати	[(0, 6, 'B-TYPE')]
желат	[(0, 5, 'B-TYPE')]
энер	[(0, 4, 'B-TYPE')]
мистер пропер	[(0, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
чернологоловка	[(0, 14, 'B-BRAND')]
чернологоловк	[(0, 13, 'B-BRAND')]
чернологолов	[(0, 12, 'B-BRAND')]
чернологоло	[(0, 11, 'B-BRAND')]
чернологол	[(0, 10, 'B-BRAND')]
чернолого	[(0, 9, 'B-BRAND')]
сыр бе	[(0, 3, 'B-TYPE'), (4, 6, 'O')]
сыр бед	[(0, 3, 'B-TYPE'), (4, 7, 'O')]
сыр без	[(0, 3, 'B-TYPE'), (4, 7, 'O')]
доьрый ксла	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
долрый клла	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
